P:06df4c85:0.032	A0[A16[]]
P:09629e4f:0.033	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:0b148d64:0.461	A0[A7[]]
P:10fcaaa3:0.549	A0[A45[],A6[],A12[C0,C6,C0]]
P:137eaa0f:0.222	A0[A6[],A6[],A12[C3,C3,C0]]
P:1e0a9b12:0.026	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:2204b7a8:0.010	A0[A33[C0,C0,C4,C0,C8,C8,C8,C0,C0,C0,C0]]
P:228f6490:0.030	A0[A1[C8]]
P:234bbc79:0.192	A0[A6[],A6[],A12[C9,C3,C0]]
P:239be575:0.500	A0[A12[C1,C1,C2]]
P:23b5c85d:0.054	A0[A6[],A6[],A12[C4,C3,C0]]
P:25d8a9c8:0.083	A0[A14[C0,C1,C2,C3,C4,C5,C5,C7,C8,C9]]
P:272f95fa:0.071	A0[A1[C6]]
P:2bee17df:0.088	A0[A1[C3]]
P:2dc579da:0.632	A0[A7[]]
P:2dee498d:0.552	A0[A12[C4,C4,C2]]
P:321b1fc6:0.020	A0[A14[C0,C1,C2,C3,C4,C5,C0,C7,C8,C9]]
P:39a8645d:0.704	A0[A6[],A6[],A12[C3,C3,C0]]
P:3befdf3e:0.053	A0[A33[C1,C1,C2,C3,C4,C0,C0,C0,C0,C0,C0]]
P:3de23699:0.153	A0[A21[C2]]
P:3f7978a0:0.333	A0[A6[],A6[],A12[C5,C6,C0]]
P:4093f84a:0.009	A0[A33[C0,C0,C5,C0,C8,C8,C8,C0,C0,C0,C0]]
P:4290ef0e:0.137	A0[A12[C7,C7,C2]]
P:444801d8:0.017	A0[A1[C2]]
P:445eab21:0.083	A0[A12[C2,C2,C2]]
P:447fd412:0.008	A0[A35[C1]]
P:4522001f:0.630	A0[A27[C0]]
P:46442a0e:0.909	A0[A6[]]
P:469497ad:0.530	A0[A4[C4]]
P:46f33fce:0.830	A0[A4[C2]]
P:47c1f68c:0.305	A0[A12[C10,C10,C2]]
P:48d8fb45:0.778	A0[A6[],A6[],A12[C3,C3,C0]]
P:49d1d64f:0.197	A0[A9[],A4[C2]]
P:4be741c5:0.100	A0[A6[],A6[],A12[C1,C3,C0]]
P:5117e062:0.333	A0[A6[],A6[],A12[C3,C3,C0]]
P:5168d44c:0.013	A0[A3[]]
P:539a4f51:0.373	A0[A6[]]
P:5521c0d9:0.015	A0[A43[]]
P:5ad4f10b:0.333	A0[A6[],A6[],A12[C3,C3,C2]]
P:5bd6f4ac:0.222	A0[A6[],A6[],A12[C3,C3,C2]]
P:5daaa586:0.181	A0[A12[C8,C8,C2]]
P:662c240a:0.250	A0[A6[],A6[],A12[C3,C3,C0]]
P:673ef223:0.011	A0[A33[C0,C0,C4,C0,C2,C2,C2,C0,C0,C0,C0]]
P:6773b310:0.444	A0[A6[],A6[],A12[C3,C3,C2]]
P:681b3aeb:0.593	A0[A6[],A6[],A12[C3,C3,C0]]
